Accident_Number,Event_Date,Year,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Weather_Condition_Cleaned,Total_Concerned,Broad_Phase_of_Flight
ATL00LA092,9/17/00,2000,"ATLANTA, GA",United States,,,,,Non-Fatal,,N853AS,Bombardier,CRJ-200,SCHD,(DBA: DELTA CONNECTION),0,1,50,VMC,VMC,51,CRUISE
DCA08FA018,12/16/07,2007,"Providence, RI",United States,,,KPVD,Theodore F. Green State,Non-Fatal,Substantial,N470ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines,0,0,34,IMC,IMC,34,LANDING
DCA10CA018,12/18/09,2009,"Dallas, TX",United States,32.896944,-97.038055,DFW,Dallas/Fort Worth Intl Airport,Non-Fatal,Substantial,N515AE,Bombardier,CL-600,SCHD,American Eagle,0,0,3,VMC,VMC,3,STANDING
ENG12IA004,10/23/11,2011,"Atlanta, GA",United States,,,ATL,Hartsfield-Jackson Atlanta Int,Incident,,N751EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,,,NA,0,LANDING
DCA11CA084A,7/14/11,2011,"Boston, MA",United States,42.353333,-71.014444,BOS,GENERAL EDWARD LAWRENCE LOGAN,Non-Fatal,Substantial,N132EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection),0,0,291,VMC,VMC,291,STANDING
ATL02FA113,6/2/02,2002,"Atlanta, GA",United States,33.645277,-84.433056,ATL,Atlanta Hartsfield,Non-Fatal,Substantial,N849AS,Bombardier,CL-600,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,53,VMC,VMC,53,LANDING
DCA09FA033,2/28/09,2009,"Tallahassee, FL",United States,30.396389,-84.350278,TLH,Tallahassee Regional Airport,Non-Fatal,Substantial,N830AS,Bombardier,CRJ-200,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,2,,NA,2,STANDING
CHI01LA066,1/8/01,2001,"Detroit, MI",United States,,,DTW,DETROIT METROPOLITAN WAYNE CO.,Non-Fatal,Substantial,N784CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,31,VMC,VMC,31,STANDING
NYC01IA072,1/3/01,2001,"Covington, KY",United States,,,,,Incident,Minor,N933CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,46,VMC,VMC,46,APPROACH
ENG14IA029,9/13/14,2014,"Hodeida, Yemen",Yemen,14.764444,42.981945,,N/A,Incident,Minor,7O-FAB,Bombardier,CRJ-700,SCHD,Felix Airways,0,0,,UNK,UNK,0,TAKEOFF
WPR13IA144,3/5/13,2013,"Danville, CA",United States,37.839444,-122.003333,SJC,Norman Y. Mineta San Jose Int,Incident,Minor,N417QX,Bombardier,DHC-8,SCHD,Horizon Air,0,0,51,VMC,VMC,51,CLIMB
WPR13LA431,9/29/13,2013,"Reno, NV",United States,39.498889,-119.768056,,N/A,Non-Fatal,,N449QX,Bombardier,DHC-8,SCHD,Horizon Air Industries Inc,0,1,58,VMC,VMC,59,APPROACH
SEA02IA044,3/1/02,2002,"Boise, ID",United States,,,,,Incident,,N410QX,Bombardier,DHC-8,SCHD,Horizon Airlines,0,0,73,VMC,VMC,73,CRUISE
NYC05LA013,10/27/04,2004,"Philadelphia, PA",United States,39.871945,-75.241111,PHL,Philadelphia International,Non-Fatal,Substantial,N592ML,Bombardier,CL-600,SCHD,MESA AIRLINES INC (DBA: US Airways Express),0,0,41,VMC,VMC,41,TAXI
CEN09FA094,12/15/08,2008,"Chicago, IL",United States,41.980834,-87.906389,ORD,Chicago O'Hare International,Incident,Minor,N511MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc",0,0,32,VMC,VMC,32,APPROACH
DFW05LA047,12/29/04,2004,"Austin, TX",United States,30.201944,-97.666667,AUS,Austin-Bergstrom International,Non-Fatal,,N506MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,1,59,VMC,VMC,60,OTHER
DCA07FA037,4/12/07,2007,"Traverse City, MI",United States,44.741666,-85.593333,KTVC,Cherry Capitol Airport,Non-Fatal,Substantial,N8905F,Bombardier,CL-600,SCHD,PINNACLE AIR INC (DBA: Northwest Airlink),0,0,52,IMC,IMC,52,LANDING
CHI05FA077,3/11/05,2005,"Milwaukee, WI",United States,42.931667,-87.898055,MKE,Milwukee/General Mitchell,Non-Fatal,Substantial,N8932C,Bombardier,CL-600,SCHD,Pinnacle Airlines,0,0,12,IMC,IMC,12,CLIMB
DCA05MA031,2/2/05,2005,"Teterboro, NJ",United States,,,KTEB,Teterboro NJ,Non-Fatal,Substantial,N370V,Bombardier,CL-600,NSCH,Platinum Jet Managment,0,4,0,VMC,VMC,4,TAKEOFF
DCA10IA022,1/19/10,2010,"Charleston, WV",United States,,,CRW,Yeager Airport,Incident,Minor,N246PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: USAirways Express),0,0,34,VMC,VMC,34,TAKEOFF
DCA12CA035,2/3/12,2012,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,Non-Fatal,Substantial,N912SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,52,VMC,VMC,52,STANDING
CHI08LA051,12/16/07,2007,"Chicago, IL",United States,41.978611,-87.904722,ORD,Chicago O'Hare Intl,Non-Fatal,Substantial,N918SW,Bombardier,CL-600,SCHD,Skywest Airlines Inc,0,1,32,VMC,VMC,33,TAXI
CHI04IA056,1/17/04,2004,"Rapid City, SD",United States,44.045277,-103.057222,RAP,Rapid City Regional Airport,Incident,Minor,N595SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Skywest Airlines),0,0,35,IMC,IMC,35,LANDING
ENG10IA055,9/28/10,2010,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,GENERAL MITCHELL INTL,Incident,Minor,N498CA,Bombardier,CL-600,SCHD,"SKYWEST AIRLINES, Inc.",0,0,39,VMC,VMC,39,LANDING
ERA09LA538,9/27/09,2009,"Vineyard Haven, MA",United States,41.393055,-70.614444,MVY,Martha's Vineyard,Non-Fatal,Substantial,N190MP,Bombardier,CL-600,,,0,0,4,IMC,IMC,4,LANDING
